Line_ID,From,To,FVSI,Lmn,LQP,Lp,NLSI,NVSI,VQI,PTSI,VSI_2,L_simple,VSLI,VCPI_P,VCPI_Q,Lsr,SI,VCPI_1,VSMI,VSLBI,VSI_1,L_index,VCPI_bus
0,1,0,0.03545732109622128,0.03587014008126569,0.03414286260948187,0.2599083537743825,0.05710499812656107,0.04445743287138077,0.03545732109622128,0.074255592004492,0.054088643606534946,0.05283790593960481,0.05349261971883017,0.07425559200449201,0.07425559200449201,0.07425559200449201,0.8523898663687158,0.47085730032668544,0.9587809778394911,43.446603502839274,0.9187786209596633,0.0,47.81712726718553
1,2,0,0.004685352436736666,0.00476722201657217,0.007283083898352697,0.32875661508459214,0.037309125832693434,0.054425669390387,0.004685352436736668,0.0754214717807207,0.007275815211823189,0.037867850945467886,0.03929823618732844,0.07542147178072069,0.07542147178072069,0.07542147178072069,0.8475395452432908,0.47254020317173245,0.9560854053220372,34.571623597096774,0.8914667491686561,0.0,47.81712726718553
2,4,3,0.005119604727075176,0.005148577428165918,0.00552502251136041,0.2154996543492438,0.016034839724382008,0.025463436354142856,0.005119604727075176,0.034029158950020205,0.007257493939106977,0.01630912493878812,0.016614110579859627,0.03402915895002019,0.03402915895002019,0.03402915895002019,1.0001802548898775,0.4968716311285598,0.9802370264101252,76.26486139231028,0.9494325730488871,0.0,63.686251704106915
3,4,2,0.025541299788750468,0.027298472532408302,0.07812496952792478,0.9265980158971,0.12509625517786668,0.22889573817583714,0.025541299788750464,0.2942205986892025,0.036008605170328216,0.1455100205582326,0.16945990129921124,0.2942205986892024,0.2942205986892025,0.2942205986892025,0.930959556393263,0.4566279782748587,0.8203976042812552,7.997226874021389,0.5484324619392938,0.01833312957806171,16.490116158145003
4,4,5,0.027133920705684465,0.028214856679528305,0.047651169460163935,0.7722086578283568,0.08985511686906075,0.14764570888297476,0.027133920705684458,0.19415966656919395,0.038104487773962074,0.047725585528476014,0.05855389099908383,0.19415966656919395,0.19415966656919395,0.19415966656919395,0.9580224895910049,0.4861608108481833,0.8813202479683373,13.07402079360015,0.709680230003871,0.0,82.94696477444012
5,5,6,0.006135129903450745,0.006168550523640867,0.006393099831096567,0.1987579412190367,0.0161064875641961,0.023490637295923666,0.006135129903450744,0.03203867357388098,0.00869466265254999,0.004463868340340935,0.0047493641454416004,0.032038673573880974,0.032038673573880974,0.03203867357388098,0.9527344233465339,0.4938231333688845,0.9805138701621214,83.1461668153475,0.9535229001038558,0.003988007770678662,42.16294461509915
6,8,7,0.01193203293715029,0.012824917291360578,0.16527953130700765,0.8165489904700904,0.0735363214218662,0.38784580595760226,0.011932032937150294,0.42354656844999333,0.013802833743239309,0.058484118528706,0.1321390754088832,0.4235465684499934,0.4235465684499934,0.4235465684499934,1.0434526065157845,0.47990460153307446,0.7308270792606157,4.991929040793485,0.22899790165669887,0.0,8.919321185864417
7,9,8,0.0033174015278640257,0.00358079791452187,0.16715668565955102,0.8028691915838678,0.06709843377319935,0.3988061642072392,0.0033174015278640253,0.43297409227717587,0.0038435886233854776,0.07367313525078958,0.15168842596715074,0.4329740922771758,0.4329740922771758,0.4329740922771758,1.1260819041672083,0.4835451143304045,0.7231180737449379,4.800913016457246,0.20370905477683987,3.0623052871754274e-06,1.000159305813072
8,3,10,0.019510616867189585,0.020466527145368292,0.03657830597232591,0.6396365775908963,0.09925302863098474,0.13547104867388507,0.019510616867189582,0.18994589578930002,0.03003700413257573,0.07078161341706218,0.07998615432822391,0.1899458957893001,0.18994589578930007,0.18994589578930007,0.9384030305824597,0.47862758757317564,0.8845146290093076,13.735736042733334,0.7320724838491868,0.021141660591620506,39.99375820793559
9,4,10,0.02020601622494965,0.02137973149336944,0.04463841915884813,0.7117517377073235,0.11238292714777227,0.1593534437987659,0.02020601622494965,0.2209112595369152,0.030914231369014163,0.08621846635877768,0.0988175661388934,0.22091125953691523,0.22091125953691523,0.22091125953691523,0.945484999010606,0.47565117522530886,0.865451777301016,11.607310413649186,0.6847969993876918,0.021141660591620506,39.99375820793559
