RELATORIO CONVERGENCIA IEEE 30 ANAREDE (PWF TCC)
NUM    STATUS         PASSO            LAMBDA           MW
0      Convergente    0.00000          1.0000           283.40
1      Convergente    0.00200          1.0020           283.97
2      Convergente    0.00200          1.0040           284.53
3      Convergente    0.00200          1.0060           285.10
4      Convergente    0.00200          1.0080           285.67
5      Convergente    0.00200          1.0100           286.23
6      Convergente    0.00200          1.0120           286.80
7      Convergente    0.00200          1.0140           287.37
8      Convergente    0.00200          1.0160           287.93
9      Convergente    0.00200          1.0180           288.50
10     Convergente    0.00200          1.0200           289.07
11     Convergente    0.00200          1.0220           289.63
12     Convergente    0.00200          1.0240           290.20
13     Convergente    0.00200          1.0260           290.77
14     Convergente    0.00200          1.0280           291.34
15     Convergente    0.00200          1.0300           291.90
16     Convergente    0.00200          1.0320           292.47
17     Convergente    0.00200          1.0340           293.04
18     Convergente    0.00200          1.0360           293.60
19     Convergente    0.00200          1.0380           294.17
20     Convergente    0.00200          1.0400           294.74
21     Convergente    0.00200          1.0420           295.30
22     Convergente    0.00200          1.0440           295.87
23     Convergente    0.00200          1.0460           296.44
24     Convergente    0.00200          1.0480           297.00
25     Convergente    0.00200          1.0500           297.57
26     Convergente    0.00200          1.0520           298.14
27     Convergente    0.00200          1.0540           298.70
28     Convergente    0.00200          1.0560           299.27
29     Convergente    0.00200          1.0580           299.84
30     Convergente    0.00200          1.0600           300.40
31     Convergente    0.00200          1.0620           300.97
32     Convergente    0.00200          1.0640           301.54
33     Convergente    0.00200          1.0660           302.10
34     Convergente    0.00200          1.0680           302.67
35     Convergente    0.00200          1.0700           303.24
36     Convergente    0.00200          1.0720           303.80
37     Convergente    0.00200          1.0740           304.37
38     Convergente    0.00200          1.0760           304.94
39     Convergente    0.00200          1.0780           305.51
40     Convergente    0.00200          1.0800           306.07
41     Convergente    0.00200          1.0820           306.64
42     Convergente    0.00200          1.0840           307.21
43     Convergente    0.00200          1.0860           307.77
44     Convergente    0.00200          1.0880           308.34
45     Convergente    0.00200          1.0900           308.91
46     Convergente    0.00200          1.0920           309.47
47     Convergente    0.00200          1.0940           310.04
48     Convergente    0.00200          1.0960           310.61
49     Convergente    0.00200          1.0980           311.17
50     Convergente    0.00200          1.1000           311.74
51     Convergente    0.00200          1.1020           312.31
52     Convergente    0.00200          1.1040           312.87
53     Convergente    0.00200          1.1060           313.44
54     Convergente    0.00200          1.1080           314.01
55     Convergente    0.00200          1.1100           314.57
56     Convergente    0.00200          1.1120           315.14
57     Convergente    0.00200          1.1140           315.71
