
================================================================================
RELATORIO DE ANALISE DE ESTABILIDADE DE TENSAO (SIMULADOR PYTHON)
SISTEMA: IEEE 30 BARRAS
DATA: 20/11/2025 19:18:25
================================================================================

RESUMO DO PONTO DE COLAPSO
--------------------------
Fator de Escala Final (Lambda): 5.0000
Carregamento Total do Sistema : 946.00 MW
Tensao Minima do Sistema      : 0.6624 pu (Barra 7)

ESTADO DAS BARRAS
================================================================================
BARRA   | V (pu)  | ANG (deg) | P_INJ (MW) | Q_INJ (Mvar) | TIPO
--------------------------------------------------------------------------------
7       | 0.6624  | -27.75    | 150.00     | 150.00       | PQ
6       | 0.7164  | -26.47    | 114.00     | 54.50        | PQ
18      | 0.7510  | -38.57    | 47.50      | 17.00        | PQ
5       | 0.7580  | -23.38    | 0.00       | 0.00         | PQ
27      | 0.7654  | -24.23    | 0.00       | 0.00         | PQ
17      | 0.7681  | -34.93    | 16.00      | 4.50         | PQ
19      | 0.7783  | -37.73    | 11.00      | 3.50         | PQ
29      | 0.7801  | -33.56    | 53.00      | 9.50         | PQ
3       | 0.8127  | -18.72    | 38.00      | 8.00         | PQ
13      | 0.8225  | -26.06    | 31.00      | 8.00         | PQ
15      | 0.8253  | -28.27    | 17.50      | 9.00         | PQ
4       | 0.8279  | -20.00    | 0.00       | -0.13        | PQ
25      | 0.8328  | -27.45    | 17.50      | 11.50        | PQ
2       | 0.8340  | -15.18    | 12.00      | 6.00         | PQ
16      | 0.8340  | -33.90    | 45.00      | 29.00        | PQ
10      | 0.8381  | -30.68    | 0.00       | 0.00         | PQ
8       | 0.8381  | -30.68    | 0.00       | 0.00         | PQ
14      | 0.8471  | -26.77    | 41.00      | 12.50        | PQ
28      | 0.8604  | -27.11    | 12.00      | 4.50         | PQ
11      | 0.8716  | -20.36    | 56.00      | 37.50        | PQ
9       | 0.8846  | -33.95    | 29.00      | 10.00        | PQ
23      | 0.9338  | -30.65    | 43.50      | 33.47        | PQ
24      | 0.9389  | -24.69    | 0.00       | 0.00         | PQ
20      | 0.9580  | -35.48    | 87.50      | 56.00        | PQ
26      | 1.0000  | -19.69    | -134.55    | -102.54      | PV/REF
0       | 1.0000  | 0.00      | -430.52    | 2.92         | PV/REF
12      | 1.0000  | -3.08     | -185.00    | -119.81      | PV/REF
21      | 1.0000  | -35.23    | -107.95    | -274.09      | PV/REF
1       | 1.0000  | -11.09    | -18.94     | -374.85      | PV/REF
22      | 1.0000  | -24.91    | -80.00     | -63.64       | PV/REF

================================================================================
FLUXO NAS LINHAS
================================================================================
LINHA   | DE      | PARA    | P_DE (MW) | Q_DE (Mvar) | CARREG (%)
--------------------------------------------------------------------------------
9       | 5       | 7       | 133.56    | 151.37      | 832.3
28      | 20      | 21      | -96.68    | -152.87     | 590.0
29      | 14      | 22      | -36.80    | -46.14      | 435.5
21      | 14      | 17      | 46.94     | 9.93        | 354.0
15      | 11      | 12      | -185.00   | -51.80      | 339.1
26      | 9       | 20      | -6.09     | -89.65      | 317.4
30      | 21      | 23      | -10.94    | 45.73       | 293.9
37      | 26      | 29      | 41.06     | 18.54       | 281.6
34      | 24      | 26      | -41.07    | -4.12       | 274.8
20      | 15      | 16      | 29.51     | -14.46      | 248.8
5       | 1       | 5       | 123.94    | 101.79      | 248.3
31      | 22      | 23      | 38.34     | 7.80        | 244.5
36      | 26      | 28      | 35.13     | 16.56       | 242.7
0       | 0       | 1       | 297.77    | -69.65      | 235.2
6       | 3       | 5       | 145.25    | 79.97       | 226.7
22      | 17      | 18      | 27.41     | -1.63       | 223.4
27      | 9       | 21      | -15.13    | -60.83      | 221.4
17      | 11      | 14      | 57.51     | -10.96      | 209.9
2       | 1       | 3       | 92.35     | 80.80       | 190.5
25      | 9       | 16      | 17.81     | 49.28       | 185.1
18      | 11      | 15      | 49.97     | 1.12        | 179.2
39      | 7       | 27      | -23.53    | -27.00      | 169.0
24      | 9       | 19      | 34.78     | 30.60       | 163.6
32      | 23      | 24      | -20.74    | 11.95       | 160.2
33      | 24      | 25      | 19.08     | 13.90       | 157.2
7       | 4       | 6       | 75.92     | 48.09       | 155.6
38      | 28      | 29      | 19.81     | 5.72        | 149.8
23      | 18      | 19      | -20.86    | -20.29      | 121.1
1       | 0       | 2       | 132.75    | 66.74       | 114.8
11      | 5       | 9       | 21.95     | -15.11      | 109.9
16      | 11      | 13      | 29.34     | 4.28        | 106.3
3       | 2       | 3       | 109.65    | 20.23       | 102.8
13      | 8       | 9       | 38.42     | -34.40      | 94.7
10      | 5       | 8       | 38.42     | -26.45      | 94.7
35      | 27      | 26      | -15.16    | -44.29      | 94.1
4       | 1       | 4       | 81.76     | 69.61       | 83.4
40      | 5       | 27      | 10.19     | -12.89      | 67.7
19      | 13      | 14      | -3.05     | -6.73       | 56.1
8       | 5       | 6       | 45.35     | 23.09       | 51.9
14      | 3       | 11      | 7.82      | -18.30      | 37.7
12      | 8       | 10      | 0.00      | 0.00        | 0.0

================================================================================
FIM DO RELATORIO
================================================================================
