
====================================================================================================
RELATORIO DE EXECUCAO DO FLUXO DE POTENCIA CONTINUADO (CONVERGENCIA)
SISTEMA: IEEE 30 BARRAS
DATA: 20/11/2025 19:18:25
====================================================================================================

NUM.    STATUS          PASSO (LAMBDA)    CARGA TOTAL (MW)    CARGA TOTAL (Mvar)    TENSAO MIN (PU)
----------------------------------------------------------------------------------------------------
1       Convergente     1.0000            167.12              99.27                 0.9608
2       Convergente     1.0020            167.46              99.51                 0.9607
3       Convergente     1.0040            167.80              99.75                 0.9606
4       Convergente     1.0060            168.14              100.00                0.9605
5       Convergente     1.0080            168.48              100.24                0.9604
6       Convergente     1.0100            168.82              100.49                0.9603
7       Convergente     1.0120            169.16              100.73                0.9602
8       Convergente     1.0140            169.50              100.98                0.9601
9       Convergente     1.0160            169.84              101.22                0.9600
10      Convergente     1.0180            170.18              101.47                0.9600
11      Convergente     1.0200            170.52              101.71                0.9599
12      Convergente     1.0220            170.86              101.96                0.9598
13      Convergente     1.0240            171.20              102.20                0.9597
14      Convergente     1.0260            171.55              102.45                0.9596
15      Convergente     1.0280            171.89              102.69                0.9595
16      Convergente     1.0300            172.23              102.94                0.9594
17      Convergente     1.0320            172.57              103.18                0.9593
18      Convergente     1.0340            172.91              103.43                0.9592
19      Convergente     1.0360            173.25              103.67                0.9591
20      Convergente     1.0380            173.59              103.92                0.9590
21      Convergente     1.0400            173.93              104.16                0.9589
22      Convergente     1.0420            174.27              104.41                0.9589
23      Convergente     1.0440            174.61              104.66                0.9588
24      Convergente     1.0460            174.96              104.90                0.9587
25      Convergente     1.0480            175.30              105.15                0.9586
26      Convergente     1.0500            175.64              105.39                0.9585
27      Convergente     1.0520            175.98              105.64                0.9584
28      Convergente     1.0540            176.32              105.89                0.9583
29      Convergente     1.0560            176.66              106.13                0.9582
30      Convergente     1.0580            177.00              106.38                0.9581
31      Convergente     1.0600            177.34              106.63                0.9580
32      Convergente     1.0620            177.69              106.87                0.9579
33      Convergente     1.0640            178.03              107.12                0.9578
34      Convergente     1.0660            178.37              107.37                0.9578
35      Convergente     1.0680            178.71              107.61                0.9577
36      Convergente     1.0700            179.05              107.86                0.9576
37      Convergente     1.0720            179.39              108.11                0.9575
38      Convergente     1.0740            179.73              108.36                0.9574
39      Convergente     1.0760            180.08              108.60                0.9573
40      Convergente     1.0780            180.42              108.85                0.9572
41      Convergente     1.0800            180.76              109.10                0.9571
42      Convergente     1.0820            181.10              109.35                0.9570
43      Convergente     1.0840            181.44              109.59                0.9569
44      Convergente     1.0860            181.78              109.84                0.9568
45      Convergente     1.0880            182.13              110.09                0.9567
46      Convergente     1.0900            182.47              110.34                0.9567
47      Convergente     1.0920            182.81              110.59                0.9566
48      Convergente     1.0940            183.15              110.83                0.9565
49      Convergente     1.0960            183.49              111.08                0.9564
50      Convergente     1.0980            183.83              111.33                0.9563
51      Convergente     1.1000            184.18              111.58                0.9562
52      Convergente     1.1020            184.52              111.83                0.9561
53      Convergente     1.1040            184.86              112.08                0.9560
54      Convergente     1.1060            185.20              112.33                0.9559
55      Convergente     1.1080            185.54              112.57                0.9558
56      Convergente     1.1100            185.89              112.82                0.9557
57      Convergente     1.1120            186.23              113.07                0.9556
58      Convergente     1.1140            186.57              113.32                0.9555
59      Convergente     1.1160            186.91              113.57                0.9554
60      Convergente     1.1180            187.25              113.82                0.9554
61      Convergente     1.1200            187.60              114.07                0.9553
62      Convergente     1.1220            187.94              114.32                0.9552
63      Convergente     1.1240            188.28              114.57                0.9551
64      Convergente     1.1260            188.62              114.82                0.9550
65      Convergente     1.1280            188.97              115.07                0.9549
66      Convergente     1.1300            189.31              115.32                0.9548
67      Convergente     1.1320            189.65              115.57                0.9547
68      Convergente     1.1340            189.99              115.82                0.9546
69      Convergente     1.1360            190.34              116.07                0.9545
70      Convergente     1.1380            190.68              116.32                0.9544
71      Convergente     1.1400            191.02              116.57                0.9543
72      Convergente     1.1420            191.36              116.82                0.9542
73      Convergente     1.1440            191.71              117.07                0.9541
74      Convergente     1.1460            192.05              117.32                0.9541
75      Convergente     1.1480            192.39              117.57                0.9540
76      Convergente     1.1500            192.73              117.82                0.9539
77      Convergente     1.1520            193.08              118.07                0.9538
78      Convergente     1.1540            193.42              118.32                0.9537
79      Convergente     1.1560            193.76              118.58                0.9536
80      Convergente     1.1580            194.10              118.83                0.9535
81      Convergente     1.1600            194.45              119.08                0.9534
82      Convergente     1.1620            194.79              119.33                0.9533
83      Convergente     1.1640            195.13              119.58                0.9532
84      Convergente     1.1660            195.47              119.83                0.9531
85      Convergente     1.1680            195.82              120.08                0.9530
86      Convergente     1.1700            196.16              120.34                0.9529
87      Convergente     1.1720            196.50              120.59                0.9528
88      Convergente     1.1740            196.85              120.84                0.9528
89      Convergente     1.1760            197.19              121.09                0.9527
90      Convergente     1.1780            197.53              121.34                0.9526
91      Convergente     1.1800            197.88              121.60                0.9525
92      Convergente     1.1820            198.22              121.85                0.9524
93      Convergente     1.1840            198.56              122.10                0.9523
94      Convergente     1.1860            198.90              122.35                0.9522
95      Convergente     1.1880            199.25              122.61                0.9521
96      Convergente     1.1900            199.59              122.86                0.9520
97      Convergente     1.1920            199.93              123.11                0.9519
98      Convergente     1.1940            200.28              123.37                0.9518
99      Convergente     1.1960            200.62              123.62                0.9517
100     Convergente     1.1980            200.96              123.87                0.9516
101     Convergente     1.2000            201.31              124.12                0.9515
