
================================================================================
RELATORIO DE ANALISE DE ESTABILIDADE DE TENSAO (COLAPSO)
SISTEMA: IEEE 30 BARRAS (PADRÃO)
DATA: 29/11/2025 14:15:32
================================================================================
RESUMO DO PONTO DE COLAPSO
--------------------------
Fator de Escala Final (Lambda): 5.0000
Carregamento Total do Sistema : 946.00 MW
Tensao Minima do Sistema      : 0.7001 pu (Barra 7)
ESTADO DAS BARRAS
================================================================================
BARRA   | V (pu)  | ANG (deg) | P_INJ (MW) | Q_INJ (Mvar)
--------------------------------------------------------------------------------
7       | 0.7001  | -24.83    | 150.00     | 150.00      
6       | 0.7475  | -23.85    | 114.00     | 54.50       
18      | 0.7726  | -34.52    | 47.50      | 17.00       
5       | 0.7856  | -21.07    | 0.00       | 0.00        
17      | 0.7887  | -31.23    | 16.00      | 4.50        
27      | 0.7924  | -21.72    | 0.00       | 0.00        
29      | 0.7968  | -29.92    | 53.00      | 9.50        
19      | 0.7977  | -33.78    | 11.00      | 3.50        
3       | 0.8344  | -16.96    | 38.00      | 8.00        
13      | 0.8386  | -23.19    | 31.00      | 8.00        
15      | 0.8416  | -25.22    | 17.50      | 9.00        
25      | 0.8431  | -24.26    | 17.50      | 11.50       
4       | 0.8477  | -18.19    | 0.00       | -0.14       
16      | 0.8487  | -30.33    | 45.00      | 29.00       
2       | 0.8536  | -13.83    | 12.00      | 6.00        
10      | 0.8552  | -27.43    | 0.00       | 0.00        
8       | 0.8552  | -27.43    | 0.00       | 0.00        
14      | 0.8612  | -23.77    | 41.00      | 12.50       
28      | 0.8709  | -23.99    | 12.00      | 4.50        
11      | 0.8847  | -18.03    | 56.00      | 37.50       
9       | 0.8954  | -30.35    | 29.00      | 10.00       
23      | 0.9377  | -27.16    | 43.50      | 33.46       
24      | 0.9429  | -21.66    | 0.00       | 0.00        
20      | 0.9612  | -31.67    | 87.50      | 56.00       
12      | 1.0000  | -1.84     | -185.00    | -107.40     
21      | 1.0000  | -31.41    | -107.95    | -250.70     
22      | 1.0000  | -21.75    | -80.00     | -56.86      
26      | 1.0000  | -17.01    | -134.55    | -91.76      
0       | 1.0000  | 0.00      | -392.66    | 9.00        
1       | 1.0000  | -10.07    | -18.94     | -328.42     

================================================================================
FLUXO NOS RAMOS (LINHAS E TRANSFORMADORES)
================================================================================
TIPO  | ID    | DE      | PARA    | P_DE (MW) | Q_DE (Mvar) | CARREG (%)
--------------------------------------------------------------------------------
LIN   | 9     | 5       | 7       | 125.08    | 139.61      | 745.7
LIN   | 28    | 20      | 21      | -92.24    | -140.27     | 545.8
LIN   | 29    | 14      | 22      | -35.96    | -41.53      | 398.7
LIN   | 21    | 14      | 17      | 44.46     | 8.76        | 328.9
LIN   | 15    | 11      | 12      | -176.15   | -47.81      | 317.4
LIN   | 26    | 9       | 20      | -6.41     | -81.11      | 283.9
LIN   | 30    | 21      | 23      | -10.07    | 42.76       | 274.6
LIN   | 37    | 26      | 29      | 38.55     | 16.66       | 262.5
LIN   | 34    | 24      | 26      | -38.51    | -4.00       | 256.6
LIN   | 31    | 22      | 23      | 36.22     | 7.19        | 230.8
LIN   | 20    | 15      | 16      | 27.84     | -13.36      | 229.3
LIN   | 36    | 26      | 28      | 33.04     | 14.98       | 226.7
LIN   | 5     | 1       | 5       | 113.08    | 88.45       | 222.4
LIN   | 0     | 0       | 1       | 270.06    | -65.83      | 213.8
LIN   | 22    | 17      | 18      | 26.19     | -1.60       | 207.9
LIN   | 6     | 3       | 5       | 135.50    | 72.18       | 204.4
LIN   | 27    | 9       | 21      | -14.84    | -55.41      | 200.2
LIN   | 17    | 11      | 14      | 53.38     | -9.78       | 191.7
LIN   | 25    | 9       | 16      | 16.94     | 45.94       | 170.9
LIN   | 2     | 1       | 3       | 84.04     | 70.30       | 170.3
LIN   | 18    | 11      | 15      | 47.02     | 0.84        | 166.1
LIN   | 39    | 7       | 27      | -22.62    | -25.60      | 152.5
LIN   | 24    | 9       | 19      | 32.52     | 28.31       | 150.5
LIN   | 32    | 23      | 24      | -19.37    | 10.91       | 148.2
LIN   | 33    | 24      | 25      | 18.06     | 13.08       | 147.8
LIN   | 7     | 4       | 6       | 70.36     | 43.66       | 140.1
LIN   | 38    | 28      | 29      | 18.70     | 5.19        | 139.2
LIN   | 23    | 18      | 19      | -19.58    | -19.24      | 111.0
LIN   | 1     | 0       | 2       | 122.60    | 56.83       | 104.4
LIN   | 16    | 11      | 13      | 27.61     | 4.12        | 98.6
LIN   | 11    | 5       | 9       | 20.25     | -13.76      | 97.4
LIN   | 3     | 2       | 3       | 101.83    | 18.10       | 93.2
LIN   | 35    | 27      | 26      | -16.24    | -40.46      | 84.7
LIN   | 13    | 8       | 9       | 35.49     | -30.31      | 84.0
LIN   | 10    | 5       | 8       | 35.40     | -24.10      | 83.9
LIN   | 4     | 1       | 4       | 75.26     | 60.60       | 75.2
LIN   | 40    | 5       | 27      | 7.83      | -11.75      | 56.2
LIN   | 19    | 13      | 14      | -3.07     | -6.08       | 50.8
LIN   | 8     | 5       | 6       | 43.72     | 21.56       | 48.0
LIN   | 14    | 3       | 11      | 5.27      | -16.10      | 31.2
LIN   | 12    | 8       | 10      | 0.00      | 0.00        | 0.0

================================================================================
FIM DO RELATORIO
================================================================================
