
====================================================================================================
RELATORIO DE EXECUCAO DO FLUXO DE POTENCIA CONTINUADO (CONVERGENCIA)
SISTEMA: IEEE 39 BARRAS (NEW ENGLAND)
DATA: 20/11/2025 19:19:08
====================================================================================================

NUM.    STATUS          PASSO (LAMBDA)    CARGA TOTAL (MW)    CARGA TOTAL (Mvar)    TENSAO MIN (PU)
----------------------------------------------------------------------------------------------------
1       Convergente     1.0000            5288.67             1352.04               0.9820
2       Convergente     1.0020            5299.35             1358.25               0.9820
3       Convergente     1.0040            5310.02             1364.46               0.9820
4       Convergente     1.0060            5320.70             1370.69               0.9820
5       Convergente     1.0080            5331.37             1377.33               0.9820
6       Convergente     1.0100            5342.05             1384.03               0.9820
7       Convergente     1.0120            5352.73             1390.73               0.9820
8       Convergente     1.0140            5363.40             1397.45               0.9820
9       Convergente     1.0160            5374.08             1404.17               0.9820
10      Convergente     1.0180            5384.76             1410.91               0.9820
11      Convergente     1.0200            5395.44             1417.67               0.9820
12      Convergente     1.0220            5406.12             1424.43               0.9820
13      Convergente     1.0240            5416.80             1431.20               0.9820
14      Convergente     1.0260            5427.48             1437.99               0.9820
15      Convergente     1.0280            5438.16             1444.79               0.9820
16      Convergente     1.0300            5448.84             1451.60               0.9820
17      Convergente     1.0320            5459.52             1458.42               0.9820
18      Convergente     1.0340            5470.21             1465.25               0.9820
19      Convergente     1.0360            5480.89             1472.09               0.9820
20      Convergente     1.0380            5491.57             1478.95               0.9820
21      Convergente     1.0400            5502.26             1485.82               0.9820
22      Convergente     1.0420            5512.94             1492.70               0.9820
23      Convergente     1.0440            5523.63             1499.59               0.9820
24      Convergente     1.0460            5534.31             1506.49               0.9820
25      Convergente     1.0480            5545.00             1513.41               0.9820
26      Convergente     1.0500            5555.68             1520.33               0.9820
27      Convergente     1.0520            5566.37             1527.27               0.9820
28      Convergente     1.0540            5577.06             1534.22               0.9820
29      Convergente     1.0560            5587.75             1541.18               0.9820
30      Convergente     1.0580            5598.44             1548.16               0.9820
31      Convergente     1.0600            5609.12             1555.14               0.9820
32      Convergente     1.0620            5619.81             1562.14               0.9820
33      Convergente     1.0640            5630.50             1569.15               0.9820
34      Convergente     1.0660            5641.19             1576.18               0.9820
35      Convergente     1.0680            5651.88             1583.21               0.9820
36      Convergente     1.0700            5662.58             1590.26               0.9820
37      Convergente     1.0720            5673.27             1597.32               0.9820
38      Convergente     1.0740            5683.96             1604.39               0.9820
39      Convergente     1.0760            5694.65             1611.47               0.9820
40      Convergente     1.0780            5705.35             1618.56               0.9820
41      Convergente     1.0800            5716.04             1625.67               0.9820
42      Convergente     1.0820            5726.74             1632.79               0.9820
43      Convergente     1.0840            5737.43             1639.92               0.9820
