
====================================================================================================
RELATORIO DO CASO BASE (PONTO DE PARTIDA)
SISTEMA: IEEE 39 BARRAS (NEW ENGLAND)
DATA: 29/11/2025 14:15:36
====================================================================================================
RESUMO GERAL:
-------------
Carga Total:   6254.23 MW  |  1387.10 Mvar
Geração Total: 6297.87 MW
DETALHE DAS BARRAS:
================================================================================
BARRA   | V (pu)  | ANG (deg) | P_INJ (MW) | Q_INJ (Mvar) | TIPO
--------------------------------------------------------------------------------
30      | 0.9820  | 0.00      | -668.67    | -216.97      | PV/REF
31      | 0.9841  | -0.19     | -650.00    | -206.96      | PV/REF
19      | 0.9910  | -6.82     | 680.00     | 103.00       | PQ
32      | 0.9972  | -0.19     | -632.00    | -108.29      | PV/REF
7       | 0.9979  | -13.34    | 522.00     | 176.60       | PQ
6       | 0.9984  | -12.76    | 233.80     | 84.00        | PQ
11      | 1.0008  | -9.00     | 8.53       | 88.00        | PQ
3       | 1.0045  | -12.63    | 500.00     | 184.00       | PQ
4       | 1.0060  | -11.19    | 0.00       | 0.00         | PQ
5       | 1.0082  | -10.41    | 0.00       | 0.00         | PQ
33      | 1.0123  | -1.63     | -508.00    | -166.69      | PV/REF
13      | 1.0123  | -10.72    | 0.00       | 0.00         | PQ
10      | 1.0134  | -8.94     | 0.00       | 0.00         | PQ
12      | 1.0149  | -8.93     | 0.00       | 0.00         | PQ
14      | 1.0162  | -11.35    | 320.00     | 153.00       | PQ
9       | 1.0178  | -8.17     | 0.00       | 0.00         | PQ
37      | 1.0265  | 3.89      | -830.00    | -21.73       | PV/REF
36      | 1.0275  | -1.58     | -540.00    | 1.37         | PV/REF
38      | 1.0300  | -14.54    | 104.00     | 171.53       | PV/REF
2       | 1.0307  | -12.28    | 322.00     | 2.40         | PQ
17      | 1.0316  | -11.99    | 158.00     | 30.00        | PQ
20      | 1.0323  | -7.63     | 274.00     | 115.00       | PQ
15      | 1.0325  | -10.03    | 329.00     | 32.30        | PQ
16      | 1.0342  | -11.12    | 0.00       | 0.00         | PQ
23      | 1.0380  | -9.91     | 308.60     | -92.20       | PQ
8       | 1.0383  | -14.18    | 6.50       | -66.60       | PQ
26      | 1.0383  | -11.36    | 281.00     | 75.50        | PQ
0       | 1.0394  | -13.54    | 97.60      | 44.20        | PQ
22      | 1.0451  | -3.38     | 247.50     | 84.60        | PQ
1       | 1.0485  | -9.79     | 0.00       | 0.00         | PQ
34      | 1.0494  | 1.78      | -650.00    | -210.66      | PV/REF
29      | 1.0499  | -7.37     | -250.00    | -161.76      | PV/REF
18      | 1.0501  | -5.41     | 0.00       | 0.00         | PQ
28      | 1.0501  | -3.17     | 283.50     | 26.90        | PQ
21      | 1.0501  | -3.18     | 0.00       | 0.00         | PQ
27      | 1.0504  | -5.93     | 206.00     | 27.60        | PQ
25      | 1.0526  | -9.44     | 139.00     | 17.00        | PQ
24      | 1.0577  | -8.37     | 224.00     | 47.20        | PQ
35      | 1.0636  | 4.47      | -560.00    | -100.16      | PV/REF

================================================================================
