
================================================================================
RELATORIO DE ANALISE DE ESTABILIDADE DE TENSAO (COLAPSO)
SISTEMA: IEEE 57 BARRAS
DATA: 29/11/2025 14:16:37
================================================================================
RESUMO DO PONTO DE COLAPSO
--------------------------
Fator de Escala Final (Lambda): 1.6793
Carregamento Total do Sistema : 2100.50 MW
Tensao Minima do Sistema      : 0.1119 pu (Barra 32)
ESTADO DAS BARRAS
================================================================================
BARRA   | V (pu)  | ANG (deg) | P_INJ (MW) | Q_INJ (Mvar)
--------------------------------------------------------------------------------
32      | 0.1119  | -106.25   | 6.38       | 3.19        
29      | 0.1282  | -126.24   | 6.05       | 3.02        
31      | 0.1296  | -98.98    | 2.69       | 1.34        
24      | 0.1467  | -95.82    | 10.58      | 5.25        
30      | 0.1608  | -123.53   | 9.74       | 4.87        
33      | 0.4977  | -23.53    | 0.00       | 0.00        
34      | 0.5411  | -25.09    | 10.08      | 5.04        
23      | 0.5632  | -19.94    | 0.00       | 0.00        
56      | 0.5821  | -35.61    | 11.25      | 3.36        
39      | 0.5847  | -26.17    | 0.00       | 0.00        
35      | 0.5849  | -25.73    | 0.00       | 0.00        
25      | 0.6104  | -18.95    | 0.00       | 0.00        
38      | 0.6125  | -25.94    | 0.00       | 0.00        
55      | 0.6146  | -33.71    | 12.76      | 3.69        
36      | 0.6151  | -25.73    | 0.00       | 0.00        
41      | 0.6536  | -33.23    | 11.92      | 7.39        
22      | 0.6741  | -24.48    | 10.58      | 3.53        
21      | 0.6830  | -24.55    | 0.00       | 0.00        
20      | 0.6876  | -24.88    | 0.00       | 0.00        
37      | 0.6992  | -24.59    | 23.51      | 11.76       
47      | 0.7299  | -24.42    | 0.00       | 0.00        
46      | 0.7406  | -24.29    | 49.88      | 19.48       
43      | 0.7410  | -22.86    | 20.15      | 3.02        
19      | 0.7525  | -25.27    | 3.86       | 1.68        
49      | 0.7550  | -26.51    | 35.27      | 17.63       
48      | 0.7570  | -25.07    | 30.23      | 14.27       
26      | 0.7571  | -20.73    | 15.62      | 0.84        
40      | 0.7695  | -29.85    | 10.58      | 5.04        
52      | 0.7737  | -24.23    | 33.59      | 13.02       
18      | 0.7927  | -25.18    | 5.54       | 1.01        
45      | 0.7981  | -20.57    | 0.00       | 0.00        
51      | 0.8006  | -22.72    | 8.23       | 3.69        
27      | 0.8259  | -19.93    | 7.72       | 3.86        
53      | 0.8272  | -22.93    | 6.89       | 2.35        
44      | 0.8555  | -17.80    | 0.00       | 0.00        
42      | 0.8619  | -21.75    | 3.36       | 1.68        
50      | 0.8665  | -24.11    | 30.23      | 8.90        
28      | 0.8763  | -19.39    | 28.55      | 4.37        
17      | 0.8980  | -22.48    | 45.68      | 8.39        
54      | 0.8990  | -20.90    | 11.42      | 5.71        
13      | 0.9259  | -16.90    | 17.63      | 8.90        
10      | 0.9391  | -19.05    | 0.00       | 0.00        
12      | 0.9471  | -18.00    | 30.23      | 3.86        
6       | 0.9526  | -14.97    | 0.00       | 0.00        
14      | 0.9531  | -13.02    | 36.95      | 8.40        
9       | 0.9593  | -21.44    | 8.40       | 3.36        
4       | 0.9706  | -16.42    | 21.83      | 6.72        
3       | 0.9726  | -14.00    | 0.00       | 0.00        
8       | 0.9800  | -18.52    | 203.20     | -92.95      
5       | 0.9800  | -16.85    | 125.95     | -58.87      
2       | 0.9850  | -11.60    | 1.68       | -80.71      
16      | 0.9996  | -9.65     | 70.53      | 13.43       
15      | 0.9998  | -16.05    | 72.21      | 5.04        
7       | 1.0050  | -9.91     | -503.80    | -66.84      
1       | 1.0100  | -2.56     | 5.04       | 79.13       
11      | 1.0150  | -19.22    | 112.51     | -226.25     
0       | 1.0400  | 0.00      | -752.12    | -144.75     

================================================================================
FLUXO NOS RAMOS (LINHAS E TRANSFORMADORES)
================================================================================
TIPO  | ID    | DE      | PARA    | P_DE (MW) | Q_DE (Mvar) | CARREG (%)
--------------------------------------------------------------------------------
LIN   | 7     | 7       | 8       | 294.72    | 11.19       | 3.0
LIN   | 14    | 0       | 14      | 260.27    | 71.05       | 2.6
LIN   | 0     | 0       | 1       | 185.46    | 53.22       | 1.9
LIN   | 1     | 1       | 2       | 177.60    | -22.19      | 1.8
LIN   | 16    | 0       | 16      | 164.89    | 14.62       | 1.6
LIN   | 19    | 6       | 7       | -126.59   | -41.02      | 1.4
LIN   | 15    | 0       | 15      | 141.50    | 5.85        | 1.4
TRF   | 6     | 28      | 6       | -102.51   | -60.89      | 1.4
LIN   | 25    | 13      | 14      | -111.67   | -8.03       | 1.2
LIN   | 22    | 11      | 12      | 1.02      | 115.72      | 1.2
LIN   | 2     | 2       | 3       | 109.94    | 0.25        | 1.1
LIN   | 48    | 45      | 46      | 71.51     | 44.98       | 1.1
TRF   | 10    | 45      | 13      | -71.52    | -44.96      | 1.1
LIN   | 57    | 43      | 44      | -62.51    | -35.05      | 1.0
TRF   | 9     | 44      | 14      | -68.36    | -46.39      | 1.0
LIN   | 24    | 11      | 16      | -86.35    | 33.32       | 0.9
LIN   | 13    | 12      | 14      | -83.05    | 22.10       | 0.9
TRF   | 12    | 48      | 12      | -51.66    | -41.67      | 0.9
TRF   | 11    | 50      | 9       | -58.47    | -34.71      | 0.8
LIN   | 17    | 2       | 14      | 56.71     | 39.86       | 0.7
LIN   | 47    | 37      | 43      | -41.24    | -29.16      | 0.7
LIN   | 41    | 36      | 37      | -29.29    | -32.36      | 0.7
LIN   | 33    | 27      | 28      | -41.24    | -41.56      | 0.7
LIN   | 23    | 11      | 15      | -61.42    | 33.41       | 0.7
LIN   | 6     | 5       | 7       | -68.14    | 1.11        | 0.7
LIN   | 40    | 35      | 36      | -23.49    | -29.65      | 0.7
LIN   | 39    | 34      | 35      | -17.50    | -30.03      | 0.6
LIN   | 12    | 12      | 13      | -22.35    | 52.99       | 0.6
LIN   | 32    | 26      | 27      | -31.35    | -34.20      | 0.6
LIN   | 62    | 37      | 47      | -22.48    | -29.91      | 0.5
LIN   | 20    | 9       | 11      | -37.16    | -35.14      | 0.5
TRF   | 7     | 31      | 33      | -6.72     | 0.11        | 0.5
TRF   | 5     | 25      | 23      | 12.09     | 27.33       | 0.5
LIN   | 29    | 21      | 22      | 15.86     | 29.86       | 0.5
LIN   | 31    | 25      | 26      | -12.09    | -27.32      | 0.5
LIN   | 38    | 33      | 34      | -6.24     | -23.49      | 0.5
LIN   | 9     | 8       | 10      | 22.37     | 39.41       | 0.5
TRF   | 3     | 24      | 23      | -6.78     | 0.12        | 0.5
LIN   | 44    | 21      | 37      | -16.31    | -26.89      | 0.5
LIN   | 52    | 49      | 50      | -26.06    | -21.57      | 0.5
TRF   | 4     | 24      | 23      | -6.52     | 0.11        | 0.4
LIN   | 37    | 31      | 32      | 5.66      | 0.52        | 0.4
LIN   | 5     | 5       | 6       | -23.76    | 30.15       | 0.4
TRF   | 16    | 54      | 8       | -32.38    | -18.09      | 0.4
TRF   | 13    | 42      | 10      | -26.00    | -22.59      | 0.4
LIN   | 30    | 22      | 23      | 5.27      | 26.04       | 0.4
LIN   | 53    | 28      | 51      | 31.18     | 12.10       | 0.4
LIN   | 49    | 46      | 47      | 20.06     | 18.45       | 0.4
LIN   | 46    | 40      | 42      | -22.70    | -15.66      | 0.4
TRF   | 1     | 17      | 3       | -30.64    | -9.34       | 0.4
LIN   | 4     | 3       | 5       | 28.45     | -14.00      | 0.3
LIN   | 8     | 8       | 9       | 29.90     | 4.14        | 0.3
LIN   | 34    | 24      | 29      | 4.47      | -0.36       | 0.3
LIN   | 45    | 40      | 41      | 17.43     | 15.32       | 0.3
TRF   | 8     | 40      | 10      | -18.94    | -12.56      | 0.3
LIN   | 3     | 3       | 4       | 25.51     | -11.23      | 0.3
LIN   | 61    | 37      | 48      | -8.67     | -17.26      | 0.3
