
================================================================================
RELATORIO DE ANALISE DE ESTABILIDADE DE TENSAO (COLAPSO)
SISTEMA: IEEE 57 BARRAS
DATA: 22/05/2026 12:13:26
================================================================================
RESUMO DO PONTO DE COLAPSO
--------------------------
Fator de Escala Final (Lambda): 1.4716
Carregamento Total do Sistema : 1840.67 MW
Tensao Minima do Sistema      : 0.4064 pu (Barra 30)
ESTADO DAS BARRAS
================================================================================
BARRA   | V (pu)  | ANG (deg) | P_INJ (MW) | Q_INJ (Mvar)
--------------------------------------------------------------------------------
30      | 0.4064  | -49.97    | 8.54       | 4.27        
32      | 0.4675  | -45.44    | 5.59       | 2.80        
31      | 0.4743  | -45.20    | 2.35       | 1.18        
29      | 0.4860  | -44.79    | 5.30       | 2.65        
24      | 0.5458  | -41.71    | 9.27       | 2.95        
33      | 0.6457  | -24.79    | 0.00       | 0.00        
34      | 0.6704  | -24.48    | 8.83       | 4.41        
56      | 0.6779  | -30.03    | 9.86       | 2.94        
39      | 0.6977  | -24.29    | 0.00       | 0.00        
35      | 0.6978  | -24.05    | 0.00       | 0.00        
55      | 0.7007  | -28.61    | 11.18      | 3.24        
23      | 0.7091  | -21.94    | 0.00       | 0.00        
38      | 0.7147  | -23.70    | 0.00       | 0.00        
36      | 0.7168  | -23.57    | 0.00       | 0.00        
41      | 0.7284  | -28.02    | 10.45      | 6.48        
25      | 0.7488  | -21.08    | 0.00       | 0.00        
22      | 0.7569  | -22.12    | 9.27       | 3.09        
21      | 0.7616  | -22.02    | 0.00       | 0.00        
20      | 0.7634  | -22.17    | 0.00       | 0.00        
37      | 0.7701  | -21.78    | 20.60      | 10.30       
47      | 0.7868  | -21.27    | 0.00       | 0.00        
46      | 0.7927  | -21.00    | 43.71      | 17.07       
49      | 0.7954  | -22.71    | 30.90      | 15.45       
43      | 0.8006  | -20.16    | 17.66      | 2.65        
48      | 0.8025  | -21.55    | 26.49      | 12.51       
19      | 0.8121  | -22.49    | 3.38       | 1.47        
52      | 0.8127  | -20.85    | 29.43      | 10.56       
40      | 0.8178  | -25.24    | 9.27       | 4.41        
26      | 0.8307  | -19.37    | 13.69      | 0.74        
45      | 0.8319  | -17.83    | 0.00       | 0.00        
51      | 0.8377  | -19.60    | 7.21       | 3.24        
18      | 0.8384  | -22.13    | 4.86       | 0.88        
53      | 0.8505  | -19.69    | 6.03       | 2.06        
27      | 0.8729  | -17.82    | 6.77       | 3.38        
50      | 0.8806  | -20.71    | 26.49      | 7.80        
42      | 0.8853  | -18.77    | 2.94       | 1.47        
44      | 0.8871  | -15.55    | 0.00       | 0.00        
54      | 0.9047  | -17.88    | 10.01      | 5.00        
28      | 0.9061  | -16.81    | 25.02      | 3.83        
17      | 0.9153  | -19.47    | 40.03      | 6.04        
13      | 0.9478  | -14.80    | 15.45      | 7.80        
10      | 0.9531  | -16.50    | 0.00       | 0.00        
12      | 0.9626  | -15.67    | 26.49      | 3.38        
6       | 0.9657  | -12.95    | 0.00       | 0.00        
14      | 0.9675  | -11.41    | 32.38      | 7.36        
9       | 0.9681  | -18.49    | 7.36       | 2.94        
4       | 0.9724  | -14.19    | 19.13      | 5.89        
3       | 0.9752  | -12.11    | 0.00       | 0.00        
8       | 0.9800  | -15.88    | 178.06     | -47.10      
5       | 0.9800  | -14.53    | 110.37     | -37.54      
2       | 0.9850  | -10.00    | 1.47       | -41.67      
15      | 1.0042  | -13.94    | 63.28      | 4.41        
7       | 1.0050  | -8.29     | -441.48    | -52.12      
16      | 1.0053  | -8.41     | 61.81      | 11.77       
1       | 1.0100  | -2.17     | 4.41       | 82.74       
11      | 1.0150  | -16.64    | 98.60      | -178.01     
0       | 1.0400  | 0.00      | -659.63    | -126.86     

================================================================================
FLUXO NOS RAMOS (LINHAS E TRANSFORMADORES)
================================================================================
TIPO  | ID    | DE      | PARA    | P_DE (MW) | Q_DE (Mvar) | CARREG (%)
--------------------------------------------------------------------------------
LIN   | 7     | 7       | 8       | 260.60    | 12.97       | 2.6
LIN   | 14    | 0       | 14      | 230.47    | 54.25       | 2.3
LIN   | 0     | 0       | 1       | 161.43    | 59.28       | 1.7
LIN   | 1     | 1       | 2       | 154.68    | -17.78      | 1.6
LIN   | 16    | 0       | 16      | 144.29    | 10.47       | 1.4
LIN   | 19    | 6       | 7       | -115.85   | -27.07      | 1.2
LIN   | 15    | 0       | 15      | 123.45    | 2.86        | 1.2
TRF   | 6     | 28      | 6       | -93.79    | -38.29      | 1.1
LIN   | 25    | 13      | 14      | -99.04    | -1.01       | 1.1
LIN   | 2     | 2       | 3       | 96.27     | -3.16       | 1.0
LIN   | 22    | 11      | 12      | -0.26     | 88.97       | 0.9
LIN   | 48    | 45      | 46      | 63.07     | 27.89       | 0.8
TRF   | 10    | 45      | 13      | -63.07    | -27.89      | 0.8
LIN   | 24    | 11      | 16      | -75.37    | 25.63       | 0.8
LIN   | 13    | 12      | 14      | -73.36    | 19.09       | 0.8
LIN   | 57    | 43      | 44      | -58.34    | -24.71      | 0.8
TRF   | 9     | 44      | 14      | -62.24    | -32.19      | 0.8
TRF   | 12    | 48      | 12      | -46.25    | -28.59      | 0.7
TRF   | 11    | 50      | 9       | -49.88    | -27.34      | 0.7
LIN   | 6     | 5       | 7       | -61.58    | -0.99       | 0.6
LIN   | 23    | 11      | 15      | -53.14    | 25.53       | 0.6
LIN   | 47    | 37      | 43      | -39.72    | -20.23      | 0.6
LIN   | 17    | 2       | 14      | 49.90     | 15.10       | 0.6
LIN   | 33    | 27      | 28      | -39.00    | -21.40      | 0.5
LIN   | 41    | 36      | 37      | -29.18    | -18.78      | 0.5
LIN   | 12    | 12      | 13      | -20.24    | 38.67       | 0.5
LIN   | 20    | 9       | 11      | -31.39    | -30.21      | 0.5
LIN   | 40    | 35      | 36      | -24.63    | -16.66      | 0.4
LIN   | 32    | 26      | 27      | -31.13    | -16.31      | 0.4
LIN   | 39    | 34      | 35      | -20.70    | -17.69      | 0.4
LIN   | 52    | 49      | 50      | -21.73    | -16.90      | 0.3
LIN   | 53    | 28      | 51      | 28.69     | 11.54       | 0.3
TRF   | 16    | 54      | 8       | -27.29    | -13.58      | 0.3
LIN   | 9     | 8       | 10      | 19.59     | 24.09       | 0.3
TRF   | 13    | 42      | 10      | -22.76    | -17.10      | 0.3
LIN   | 62    | 37      | 47      | -20.05    | -13.69      | 0.3
TRF   | 1     | 17      | 3       | -27.19    | -6.80       | 0.3
LIN   | 5     | 5       | 6       | -21.89    | 17.05       | 0.3
TRF   | 5     | 25      | 23      | 16.13     | 13.56       | 0.3
LIN   | 46    | 40      | 42      | -19.81    | -12.28      | 0.3
LIN   | 31    | 25      | 26      | -16.13    | -13.56      | 0.3
LIN   | 4     | 3       | 5       | 24.47     | -11.35      | 0.3
TRF   | 7     | 31      | 33      | -11.50    | -6.06       | 0.3
LIN   | 34    | 24      | 29      | 12.45     | 8.05        | 0.3
LIN   | 8     | 8       | 9       | 26.11     | -0.33       | 0.3
LIN   | 38    | 33      | 34      | -11.50    | -12.86      | 0.3
LIN   | 29    | 21      | 22      | 15.34     | 13.21       | 0.3
LIN   | 44    | 21      | 37      | -15.77    | -11.73      | 0.3
LIN   | 3     | 3       | 4       | 22.30     | -9.22       | 0.2
LIN   | 54    | 51      | 52      | 19.80     | 6.12        | 0.2
LIN   | 49    | 46      | 47      | 17.78     | 6.35        | 0.2
LIN   | 45    | 40      | 41      | 15.24     | 11.99       | 0.2
TRF   | 0     | 17      | 3       | -21.24    | -4.00       | 0.2
TRF   | 8     | 40      | 10      | -16.56    | -9.81       | 0.2
TRF   | 3     | 24      | 23      | -11.08    | -5.61       | 0.2
LIN   | 21    | 10      | 12      | -19.99    | -6.90       | 0.2
TRF   | 4     | 24      | 23      | -10.64    | -5.39       | 0.2
LIN   | 56    | 53      | 54      | -16.49    | -7.54       | 0.2
LIN   | 10    | 8       | 11      | 1.85      | -15.71      | 0.2
LIN   | 58    | 55      | 40      | -10.43    | -4.26       | 0.2
LIN   | 30    | 22      | 23      | 5.99      | 10.02       | 0.2
LIN   | 61    | 37      | 48      | -7.44     | -9.34       | 0.2
LIN   | 35    | 29      | 30      | 6.15      | 3.91        | 0.2
LIN   | 18    | 4       | 5       | 2.80      | -13.44      | 0.1
LIN   | 55    | 52      | 53      | -10.10    | -5.03       | 0.1
LIN   | 37    | 31      | 32      | 5.66      | 2.86        | 0.1
LIN   | 11    | 8       | 12      | 1.02      | 8.55        | 0.1
LIN   | 51    | 48      | 49      | 9.28      | -1.28       | 0.1
LIN   | 50    | 47      | 48      | -2.69     | -7.95       | 0.1
LIN   | 26    | 17      | 18      | 8.40      | 4.75        | 0.1
LIN   | 60    | 56      | 55      | -5.84     | -1.99       | 0.1
LIN   | 36    | 30      | 31      | -3.12     | -1.48       | 0.1
LIN   | 59    | 55      | 41      | -3.53     | -3.37       | 0.1
TRF   | 15    | 56      | 38      | -4.02     | -0.95       | 0.1
LIN   | 42    | 36      | 38      | 4.03      | 1.45        | 0.1
TRF   | 14    | 55      | 39      | -3.22     | 2.18        | 0.1
LIN   | 43    | 35      | 39      | 3.22      | -1.83       | 0.1
LIN   | 27    | 18      | 19      | 3.03      | 3.11        | 0.1
TRF   | 2     | 19      | 20      | -0.43     | 1.52        | 0.0
LIN   | 28    | 20      | 21      | -0.43     | 1.49        | 0.0

================================================================================
FIM DO RELATORIO
================================================================================
