
====================================================================================================
RELATORIO DO CASO BASE (PONTO DE PARTIDA)
SISTEMA: IEEE 57 BARRAS
DATA: 29/11/2025 14:16:11
====================================================================================================
RESUMO GERAL:
-------------
Carga Total:   1250.80 MW  |  336.40 Mvar
Geração Total: 1281.09 MW
DETALHE DAS BARRAS:
================================================================================
BARRA   | V (pu)  | ANG (deg) | P_INJ (MW) | Q_INJ (Mvar) | TIPO
--------------------------------------------------------------------------------
30      | 0.7199  | -23.92    | 5.80       | 2.90         | PQ
32      | 0.7316  | -22.60    | 3.80       | 1.90         | PQ
31      | 0.7346  | -22.54    | 1.60       | 0.80         | PQ
29      | 0.7570  | -22.76    | 3.60       | 1.80         | PQ
24      | 0.7836  | -21.87    | 6.30       | -0.42        | PQ
56      | 0.7930  | -18.12    | 6.70       | 2.00         | PQ
33      | 0.7957  | -15.92    | 0.00       | 0.00         | PQ
34      | 0.8042  | -15.59    | 6.00       | 3.00         | PQ
55      | 0.8059  | -17.39    | 7.60       | 2.20         | PQ
35      | 0.8159  | -15.22    | 0.00       | 0.00         | PQ
39      | 0.8161  | -15.35    | 0.00       | 0.00         | PQ
38      | 0.8226  | -14.94    | 0.00       | 0.00         | PQ
41      | 0.8226  | -17.09    | 7.10       | 4.40         | PQ
36      | 0.8238  | -14.87    | 0.00       | 0.00         | PQ
23      | 0.8265  | -14.26    | 0.00       | 0.00         | PQ
22      | 0.8406  | -13.94    | 6.30       | 2.10         | PQ
21      | 0.8425  | -13.86    | 0.00       | 0.00         | PQ
20      | 0.8430  | -13.93    | 0.00       | 0.00         | PQ
37      | 0.8461  | -13.68    | 14.00      | 7.00         | PQ
49      | 0.8494  | -14.12    | 21.00      | 10.50        | PQ
47      | 0.8505  | -13.28    | 0.00       | 0.00         | PQ
46      | 0.8520  | -13.07    | 29.70      | 11.60        | PQ
48      | 0.8555  | -13.36    | 18.00      | 8.50         | PQ
25      | 0.8645  | -13.82    | 0.00       | 0.00         | PQ
43      | 0.8658  | -12.72    | 12.00      | 1.80         | PQ
45      | 0.8707  | -11.15    | 0.00       | 0.00         | PQ
52      | 0.8719  | -12.97    | 20.00      | 5.21         | PQ
40      | 0.8761  | -15.54    | 6.30       | 3.00         | PQ
19      | 0.8851  | -14.19    | 2.30       | 1.00         | PQ
53      | 0.8873  | -12.16    | 4.10       | 1.40         | PQ
51      | 0.8891  | -12.16    | 4.90       | 2.20         | PQ
26      | 0.8982  | -12.24    | 9.30       | 0.50         | PQ
18      | 0.8991  | -13.93    | 3.30       | 0.60         | PQ
50      | 0.9007  | -12.99    | 18.00      | 5.30         | PQ
54      | 0.9136  | -10.91    | 6.80       | 3.40         | PQ
42      | 0.9151  | -11.70    | 2.00       | 1.00         | PQ
27      | 0.9181  | -11.09    | 4.60       | 2.30         | PQ
44      | 0.9205  | -9.86     | 0.00       | 0.00         | PQ
28      | 0.9349  | -10.30    | 17.00      | 2.60         | PQ
17      | 0.9434  | -12.22    | 27.20      | 0.90         | PQ
10      | 0.9718  | -10.28    | 0.00       | 0.00         | PQ
13      | 0.9762  | -9.36     | 10.50      | 5.30         | PQ
4       | 0.9762  | -8.71     | 13.00      | 4.00         | PQ
8       | 0.9800  | -9.69     | 121.00     | 25.05        | PV/REF
5       | 0.9800  | -8.87     | 75.00      | -3.79        | PV/REF
3       | 0.9800  | -7.45     | 0.00       | 0.00         | PQ
6       | 0.9802  | -7.82     | 0.00       | 0.00         | PQ
9       | 0.9814  | -11.59    | 5.00       | 2.00         | PQ
12      | 0.9830  | -9.87     | 18.00      | 2.30         | PQ
2       | 0.9850  | -6.07     | 1.00       | 16.88        | PV/REF
14      | 0.9865  | -7.22     | 22.00      | 5.00         | PQ
7       | 1.0050  | -4.65     | -300.00    | -45.63       | PV/REF
1       | 1.0100  | -1.21     | 3.00       | 88.69        | PV/REF
15      | 1.0133  | -8.90     | 43.00      | 3.00         | PQ
11      | 1.0150  | -10.53    | 67.00      | -101.60      | PV/REF
16      | 1.0174  | -5.42     | 42.00      | 8.00         | PQ
0       | 1.0400  | 0.00      | -426.09    | -113.24      | PV/REF

================================================================================
