
================================================================================
RELATORIO DE ANALISE DE ESTABILIDADE DE TENSAO (SIMULADOR PYTHON)
SISTEMA: IEEE 30 BARRAS
DATA: 20/11/2025 15:01:03
================================================================================

RESUMO DO PONTO DE COLAPSO
--------------------------
Fator de Escala Final (Lambda): 5.0000
Carregamento Total do Sistema : 946.00 MW
Tensao Minima do Sistema      : 0.6634 pu (Barra 7)

ESTADO DAS BARRAS
================================================================================
BARRA   | V (pu)  | ANG (deg) | P_INJ (MW) | Q_INJ (Mvar) | TIPO
--------------------------------------------------------------------------------
7       | 0.6634  | -22.81    | 150.00     | 150.00       | PQ
6       | 0.7165  | -21.23    | 114.00     | 54.50        | PQ
18      | 0.7516  | -33.75    | 47.50      | 17.00        | PQ
5       | 0.7588  | -18.45    | 0.00       | 0.00         | PQ
27      | 0.7661  | -19.30    | 0.00       | 0.00         | PQ
17      | 0.7688  | -30.14    | 16.00      | 4.50         | PQ
19      | 0.7789  | -32.90    | 11.00      | 3.50         | PQ
29      | 0.7801  | -28.67    | 53.00      | 9.50         | PQ
3       | 0.8152  | -14.23    | 38.00      | 8.00         | PQ
13      | 0.8231  | -21.35    | 31.00      | 8.00         | PQ
15      | 0.8261  | -23.51    | 17.50      | 9.00         | PQ
4       | 0.8275  | -14.32    | 0.00       | -0.13        | PQ
25      | 0.8327  | -22.58    | 17.50      | 11.50        | PQ
16      | 0.8346  | -29.07    | 45.00      | 29.00        | PQ
10      | 0.8385  | -25.80    | 0.00       | 0.00         | PQ
8       | 0.8385  | -25.80    | 0.00       | 0.00         | PQ
2       | 0.8393  | -11.60    | 12.00      | 6.00         | PQ
14      | 0.8477  | -22.03    | 41.00      | 12.50        | PQ
28      | 0.8604  | -22.22    | 12.00      | 4.50         | PQ
11      | 0.8722  | -15.68    | 56.00      | 37.50        | PQ
9       | 0.8850  | -29.09    | 29.00      | 10.00        | PQ
23      | 0.9338  | -25.81    | 43.50      | 33.47        | PQ
24      | 0.9388  | -19.81    | 0.00       | 0.00         | PQ
20      | 0.9581  | -30.61    | 87.50      | 56.00        | PQ
21      | 1.0000  | -30.37    | -107.95    | -273.40      | PV/REF
22      | 1.0000  | -20.12    | -80.00     | -63.35       | PV/REF
26      | 1.0000  | -14.80    | -134.55    | -102.31      | PV/REF
12      | 1.0000  | 1.59      | -185.00    | -119.36      | PV/REF
0       | 1.0000  | 0.00      | -236.35    | -25.88       | PV/REF
1       | 1.0000  | -4.91     | -196.35    | -293.75      | PV/REF

================================================================================
FLUXO NAS LINHAS
================================================================================
LINHA   | DE      | PARA    | P_DE (MW) | Q_DE (Mvar) | CARREG (%)
--------------------------------------------------------------------------------
9       | 5       | 7       | 133.56    | 151.31      | 831.2
28      | 20      | 21      | -96.62    | -152.52     | 588.9
29      | 14      | 22      | -37.07    | -45.80      | 434.4
21      | 14      | 17      | 46.76     | 9.96        | 352.5
15      | 11      | 12      | -185.00   | -51.50      | 338.7
26      | 9       | 20      | -6.05     | -89.35      | 316.2
30      | 21      | 23      | -10.82    | 45.65       | 293.2
37      | 26      | 29      | 41.06     | 18.54       | 281.6
34      | 24      | 26      | -41.18    | -4.07       | 275.5
5       | 1       | 5       | 132.53    | 100.53      | 257.3
20      | 15      | 16      | 29.17     | -14.28      | 245.7
31      | 22      | 23      | 38.10     | 7.89        | 243.2
36      | 26      | 28      | 35.13     | 16.56       | 242.7
22      | 17      | 18      | 27.26     | -1.54       | 222.0
27      | 9       | 21      | -15.11    | -60.65      | 220.7
6       | 3       | 5       | 135.07    | 85.30       | 217.7
17      | 11      | 14      | 57.10     | -10.76      | 208.2
2       | 1       | 3       | 105.17    | 76.93       | 201.9
25      | 9       | 16      | 18.11     | 49.00       | 184.5
18      | 11      | 15      | 49.58     | 1.19        | 177.7
39      | 7       | 27      | -23.51    | -26.99      | 168.6
24      | 9       | 19      | 34.91     | 30.49       | 163.7
32      | 23      | 24      | -20.83    | 12.02       | 161.0
7       | 4       | 6       | 79.12     | 46.83       | 159.2
33      | 24      | 25      | 19.08     | 13.90       | 157.2
38      | 28      | 29      | 19.81     | 5.72        | 149.8
23      | 18      | 19      | -20.99    | -20.18      | 121.1
11      | 5       | 9       | 22.14     | -15.04      | 110.2
16      | 11      | 13      | 29.25     | 4.34        | 105.9
0       | 0       | 1       | 130.26    | -38.80      | 104.5
1       | 0       | 2       | 106.09    | 64.68       | 96.2
13      | 8       | 9       | 38.74     | -34.32      | 94.9
10      | 5       | 8       | 38.74     | -26.32      | 94.9
35      | 27      | 26      | -15.04    | -44.20      | 93.8
4       | 1       | 4       | 85.24     | 69.49       | 85.4
3       | 2       | 3       | 86.31     | 30.80       | 84.0
40      | 5       | 27      | 10.27     | -12.84      | 67.7
19      | 13      | 14      | -3.13     | -6.65       | 55.8
8       | 5       | 6       | 42.34     | 24.75       | 50.0
14      | 3       | 11      | 6.93      | -17.80      | 36.0
12      | 8       | 10      | 0.00      | 0.00        | 0.0

================================================================================
FIM DO RELATORIO
================================================================================
