
====================================================================================================
RELATORIO DE EXECUCAO DO FLUXO DE POTENCIA CONTINUADO (CONVERGENCIA)
SISTEMA: IEEE 30 BARRAS
DATA: 20/11/2025 15:01:03
====================================================================================================

NUM.    STATUS          PASSO (LAMBDA)    CARGA TOTAL (MW)    CARGA TOTAL (Mvar)    TENSAO MIN (PU)
----------------------------------------------------------------------------------------------------
1       Convergente     1.0000            166.74              87.30                 0.9606
2       Convergente     1.0050            167.59              87.84                 0.9604
3       Convergente     1.0100            168.44              88.39                 0.9602
4       Convergente     1.0150            169.29              88.94                 0.9599
5       Convergente     1.0200            170.13              89.49                 0.9597
6       Convergente     1.0250            170.98              90.04                 0.9595
7       Convergente     1.0300            171.83              90.59                 0.9592
8       Convergente     1.0350            172.68              91.14                 0.9590
9       Convergente     1.0400            173.53              91.69                 0.9588
10      Convergente     1.0450            174.38              92.24                 0.9586
11      Convergente     1.0500            175.23              92.80                 0.9583
12      Convergente     1.0550            176.07              93.35                 0.9581
13      Convergente     1.0600            176.92              93.90                 0.9579
14      Convergente     1.0650            177.77              94.46                 0.9576
15      Convergente     1.0700            178.62              95.01                 0.9574
16      Convergente     1.0750            179.47              95.57                 0.9572
17      Convergente     1.0800            180.32              96.12                 0.9569
18      Convergente     1.0850            181.17              96.68                 0.9567
19      Convergente     1.0900            182.02              97.24                 0.9565
20      Convergente     1.0950            182.87              97.79                 0.9563
21      Convergente     1.1000            183.72              98.35                 0.9560
22      Convergente     1.1050            184.57              98.91                 0.9558
23      Convergente     1.1100            185.42              99.47                 0.9556
24      Convergente     1.1150            186.27              100.03                0.9553
25      Convergente     1.1200            187.12              100.59                0.9551
26      Convergente     1.1250            187.98              101.15                0.9549
27      Convergente     1.1300            188.83              101.71                0.9546
28      Convergente     1.1350            189.68              102.27                0.9544
29      Convergente     1.1400            190.53              102.83                0.9542
30      Convergente     1.1450            191.38              103.40                0.9539
31      Convergente     1.1500            192.23              103.96                0.9537
32      Convergente     1.1550            193.09              104.52                0.9535
33      Convergente     1.1600            193.94              105.09                0.9532
34      Convergente     1.1650            194.79              105.65                0.9530
35      Convergente     1.1700            195.64              106.22                0.9528
36      Convergente     1.1750            196.50              106.79                0.9525
37      Convergente     1.1800            197.35              107.35                0.9523
38      Convergente     1.1850            198.20              107.92                0.9521
39      Convergente     1.1900            199.05              108.49                0.9518
40      Convergente     1.1950            199.91              109.06                0.9516
41      Convergente     1.2000            200.76              109.63                0.9514
42      Convergente     1.2050            201.61              110.19                0.9511
43      Convergente     1.2100            202.47              110.76                0.9509
44      Convergente     1.2150            203.32              111.34                0.9507
45      Convergente     1.2200            204.18              111.91                0.9504
46      Convergente     1.2250            205.03              112.48                0.9502
47      Convergente     1.2300            205.89              113.05                0.9499
48      Convergente     1.2350            206.74              113.62                0.9497
49      Convergente     1.2400            207.59              114.20                0.9495
50      Convergente     1.2450            208.45              114.77                0.9492
51      Convergente     1.2500            209.30              115.35                0.9490
52      Convergente     1.2550            210.16              115.92                0.9488
53      Convergente     1.2600            211.02              116.50                0.9485
54      Convergente     1.2650            211.87              117.07                0.9483
55      Convergente     1.2700            212.73              117.65                0.9481
56      Convergente     1.2750            213.58              118.23                0.9478
57      Convergente     1.2800            214.44              118.81                0.9476
58      Convergente     1.2850            215.29              119.38                0.9473
59      Convergente     1.2900            216.15              119.96                0.9471
60      Convergente     1.2950            217.01              120.54                0.9469
61      Convergente     1.3000            217.86              121.12                0.9466
62      Convergente     1.3050            218.72              121.71                0.9464
63      Convergente     1.3100            219.58              122.29                0.9461
64      Convergente     1.3150            220.44              122.87                0.9459
65      Convergente     1.3200            221.29              123.45                0.9457
66      Convergente     1.3250            222.15              124.03                0.9454
67      Convergente     1.3300            223.01              124.63                0.9452
68      Convergente     1.3350            223.87              125.23                0.9450
69      Convergente     1.3400            224.72              125.83                0.9447
70      Convergente     1.3450            225.58              126.44                0.9445
71      Convergente     1.3500            226.44              127.04                0.9442
72      Convergente     1.3550            227.30              127.64                0.9440
73      Convergente     1.3600            228.16              128.24                0.9438
74      Convergente     1.3650            229.02              128.85                0.9435
75      Convergente     1.3700            229.88              129.45                0.9433
76      Convergente     1.3750            230.73              130.06                0.9430
77      Convergente     1.3800            231.59              130.66                0.9428
